Feature,Importance
sender_frequency,0.5028627
subject_special_char_count,0.11080191
sender_uppercase_ratio,0.09185373
sender_name_email_mismatch,0.07163626
subject_exclamation_count,0.034046493
domain_frequency,0.031336114
is_free_provider,0.028851967
subdomain_count,0.018334547
subject_suspicious_score,0.017406402
sender_email_length,0.016158368
subject_uppercase_ratio,0.015152798
sender_special_char_count,0.013405336
email_month,0.012784962
subject_entropy,0.008553335
domain_length,0.007969957
subject_word_count,0.007811583
subject_length,0.0064927675
email_hour,0.0045408313
suspicious_tld,0.0
